2026-02-01 00:01:47 | WARN | api | Slow response detected (1208ms) endpoint=/payments/refund (env=prod, region=eu-west-1, ip=64.227.100.165, request_id=1brwzyofn4icfk4g, trace_id=06fij5dng9nlvl1ntxq7eitl, ua="curl/8.4.0")
2026-02-01 00:03:20 | WARN | api | Disk usage above 80% disk=98% (env=prod, region=us-east-1, ip=167.15.102.181, request_id=wyhsncr8ixuk5lih, trace_id=lyklikjd7o8ukrx9542dfvo8, ua="PostmanRuntime/7.36.0")
2026-02-01 00:11:00 | WARN | api | Rate limit nearing threshold remaining=17 (env=prod, region=me-south-1, ip=155.214.170.138, request_id=q6cn2tcupoz5bx4d, trace_id=h2bif1ecdigtwca3jg6th05v, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:14:14 | WARN | api | Slow response detected (1206ms) endpoint=/notifications/push (env=prod, region=me-south-1, ip=54.62.110.209, request_id=v0219s2itp8k2n5b, trace_id=5cpyghlv3sb7squez91e8s3r, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:17:51 | WARN | api | Elevated error rate observed window_s=120 rate=10.9% (env=prod, region=eu-west-1, ip=224.33.107.222, request_id=k3bcf6ur330defit, trace_id=agmrvx9wpyr8iss1d2kc8ndl, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:18:43 | WARN | api | Elevated error rate observed window_s=300 rate=2.7% (env=prod, region=me-south-1, ip=120.165.207.102, request_id=9lyphvnml3xz9mg6, trace_id=qazxhxkbbekmuoxjg797cqfj, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:19:56 | WARN | api | Elevated error rate observed window_s=30 rate=11.3% (env=prod, region=me-south-1, ip=238.217.247.210, request_id=xkywj2b8f9vazm77, trace_id=vbf8gl9sm9hqrrc5vkmhs6uh, ua="curl/8.4.0")
2026-02-01 00:20:28 | WARN | api | Queue backlog growing size=8075 (env=prod, region=us-east-1, ip=182.43.96.38, request_id=e4xn5bvx37dephmh, trace_id=avgmi4ztedirgrt7n2qtn6yq, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:21:41 | WARN | api | Retrying request to upstream service attempt=3 (env=prod, region=us-east-1, ip=185.2.30.3, request_id=111j4ou7278zrzea, trace_id=7p00tu0ezcpfr8x31d5alul4, ua="PostmanRuntime/7.36.0")
2026-02-01 00:24:50 | WARN | api | Retrying request to upstream service attempt=3 (env=dev, region=us-east-1, ip=21.111.237.138, request_id=lheavv6yvd04l8bq, trace_id=i4rx3tj5df0y3vezskx6vj9s, ua="PostmanRuntime/7.36.0")
2026-02-01 00:25:28 | WARN | api | Payment provider latency high (679ms) (env=prod, region=ap-southeast-1, ip=35.172.162.98, request_id=9m6uewvi55oh3vcb, trace_id=9clnvgkm6w27r1rhfxh3joya, ua="PostmanRuntime/7.36.0")
2026-02-01 00:25:29 | WARN | api | Queue backlog growing size=7298 (env=dev, region=eu-west-1, ip=216.161.95.129, request_id=fo6p2rfjj0f416el, trace_id=5vxvuj8jbqnvx5yfp5zdsc4f, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:27:27 | WARN | api | High memory usage warning mem=86% (env=prod, region=ap-southeast-1, ip=27.170.177.254, request_id=yf0aevecyrbfjhib, trace_id=4wcpzwcecprl20a0b9w9k4da, ua="curl/8.4.0")
2026-02-01 00:27:59 | WARN | api | Disk usage above 80% disk=91% (env=prod, region=us-east-1, ip=145.61.96.90, request_id=jvq3kvw2zlye5r14, trace_id=1yqp54u7kvzze01lftmjj8p5, ua="PostmanRuntime/7.36.0")
2026-02-01 00:28:39 | WARN | api | Queue backlog growing size=8445 (env=dev, region=eu-west-1, ip=97.157.114.46, request_id=lrc6ey3emkd9qriz, trace_id=3smtstvqf0e51k76bjkyk5ph, ua="PostmanRuntime/7.36.0")
